997011533549105171 581   $$aאתר האינטרנט הלאומי של המחול הספרדי: https://www.danza.es/
997011533549105171 581   $$aאתר האינטרנט של Cafe de Chinitas: https://www.chinitas.com/en/home/
997011533549105171 590   $$asponsor: Batsheva Dance Company
997011533549105171 590   $$aVisual art ready for copyright analysis
997011533549105171 590   $$asponsor: Jerusalem and Heritage
997011533549105171 590   $$asponsor: Landmarks
997011533549105171 590   $$asponsor: The Judaica collection at the Harvard University Library
997011533549105171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533549105171 6001  $$aEugenia, Victoria$$9lat
997011533549105171 6001  $$aמגן, חן$$9heb
997011533549105171 6001  $$aנתן, מיכל$$9heb
997011533549105171 6001  $$aנתן, כרמל$$9heb
997011533549105171 6001  $$aדור, טניה$$9heb
997011533549105171 6001  $$aבכר, שיר$$9heb
997011533549105171 6001  $$aאולייר, באלדי$$9heb
997011533549105171 6001  $$aRuiz, Jose Antonio$$9lat
997011533549105171 6001  $$aSagi, Emilio$$9lat
997011533549105171 6001  $$aBelmonte, Fernando$$9lat
997011533549105171 6001  $$aPerez Davila, Luis$$9lat
997011533549105171 6001  $$aRuiz Soler, Antonio$$9lat
997011533549105171 6001  $$aKitt, Eartha$$9lat
997011533549105171 6001  $$aComendeiro Mendez, Tomas$$9lat
997011533549105171 6001  $$aSadornil Ruiz, Francisca$$9lat
997011533549105171 6001  $$aLinares, Juanjo$$9lat
997011533549105171 6001  $$aMarin, Manolo$$9lat
997011533549105171 6001  $$aHoyos, Cristina$$9lat
997011533549105171 6001  $$aGades, Antonio$$9lat
997011533549105171 6001  $$aRuiz, Paco$$9lat
997011533549105171 6001  $$aשיזף, נטע$$9heb
997011533549105171 6001  $$aאזולאי, אורנילי$$9heb
997011533549105171 6102  $$aהמרכז למחול ספרדי ופלמנקו סילביה דוראן$$9heb
997011533549105171 6102  $$aלהקת להקת הפלמנקו של סילביה דוראן$$9heb
997011533549105171 6102  $$aמרכז סוזן דלל$$9heb
997011533549105171 6102  $$aשגרירות ספרד בישראל$$9heb
997011533549105171 6102  $$aInstituto Cervantes$$9lat
997011533549105171 6102  $$aCafe de Chinitas$$9lat
997011533549105171 6102  $$aקרן עדי אגמון$$9heb
997011533549105171 6102  $$aעמותת הכוריאוגרפים$$9heb
997011533549105171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
997011533549105171 7102  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb$$eבעלים נוכחיים
997011533549105171 903   $$aStaff only$$b000000018
997011533549105171 906   $$aVIS
997011533549105171 921   $$aFAE 202108
997011533549105171 939   $$aאיסור העתקה$$uhttp://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx
997011533549105171 9421  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb
997011533549105171 948   $$aNNL
997011533549105171 952   $$aCopyright status not determined; No contract$$bNo copyright analysis$$cYael Gherman 20220816$$dללא ניתוח מצב זכויות
997011533549105171 999   $$bNOULI
997011533549105171 999   $$bNOOCLC
997011533549105171 999   $$aARCHIVE
997011533549005171 LDR   00000npd#a22########4500
997011533549005171 001   997011533549005171
997011533549005171 008   ######k19472018###xx######################d
997011533549005171 040   $$bheb$$erda
997011533549005171 044   $$axx#
997011533549005171 093   $$cPSiDu-001$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533549005171 1001  $$aדוראן, סילביה$$9heb$$e(יוצר הארכיון)
997011533549005171 24510 $$aתצלומים
997011533549005171 260   $$g1947-2018$$c1947-2018
997011533549005171 300   $$a12$$fבחטיבה זו סדרות
997011533549005171 337   $$acomputer$$bc$$2rdamedia
997011533549005171 338   $$aonline resource$$bcr$$2rdacarrier
997011533549005171 351   $$cSub-Fonds Record
997011533549005171 5202  $$aהחטיבה כוללת: תצלומים ושקופיות שנוצרו לאורך חייה של סילביה דוראן, החל מילדותה ונעוריה ביוהנסבורג שבדרום אפריקה, שם למדה נגינה בפסנתר, בלט ומחול ספרדי, עבור דרך שנותיה במדריד והופעותיה בעולם, בין היתר כחברה בלהקות הבלט הספרדי של לואיסיו (Luisillo), אנטוניו 'הרקדן' (Antonio 'el Bailarin'), פאקו רואיז (Paco Ruiz) ופרננדו בלמונטה (Fernando Belmonte) וכלה בפעילותה העניפה בישראל, הכוללת את הופעותיה בפני חיילים שלחמו במלחמת יום הכיפורים בשנת 1973, עלייתה לארץ בשנת 1975 וסדרת מופעי היחיד שהעלתה, הקמת המרכז למחול ספרדי בשנת 1977, השקת 'להקת הפלמנקו של סילביה דוראן' בשנת 1984, הפקות מרכזיות שיצרה עבור להקת הפלמנקו שלה, וכן הפקות בין-לאומיות בהן השתתפה ככוריאוגרפית וכסולנית עד שנת 2018. החטיבה כוללת פורטרטים של דוראן וכן תיעוד נרחב שלה על הבמה ומחוצה לה, לצד בני משפחתה, חבריה לספסל הלימודים, מוריה למחול, חברי הלהקות בהן רקדה, נגני פלמנקו, תלמידיה וחבריה
997011533549005171 590   $$asponsor: Batsheva Dance Company
997011533549005171 590   $$aVisual art ready for copyright analysis
997011533549005171 590   $$asponsor: Jerusalem and Heritage
997011533549005171 590   $$asponsor: Landmarks
997011533549005171 590   $$asponsor: The Judaica collection at the Harvard University Library
997011533549005171 597   $$aארכיון סילביה דוראן, המופקד בארכיון המחול הישראלי בבית אריאלה, זמין דיגיטלית במסגרת שיתוף הפעולה בין תכנית "ציוני דרך" במשרד ירושלים ומורשת, מחלקת היודאיקה בספריית אוניברסיטת הרווארד, להקת מחול בת-שבע והספרייה הלאומית של ישראל.$$aThe Silvia Duran Archive, deposited at The Israeli Dance Archive in Beit Ariela, can now be accessed online as part of a collaborative initiative between the Israel Ministry of Jerusalem and Heritage’s Landmarks Program, the Harvard Library Judaica Division, Batsheva Dance Company and The National Library of Israel.
997011533549005171 650 7 $$aDance$$zIsrael$$9lat$$2NLI
997011533549005171 7102  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb$$eבעלים נוכחיים
997011533549005171 77318 $$tארכיון סילביה דוראן$$w997011533549105171
997011533549005171 903   $$aStaff only$$b000000018
997011533549005171 906   $$aVIS
997011533549005171 921   $$aFAE 202108
997011533549005171 939   $$aאיסור העתקה$$uhttp://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx
997011533549005171 9421  $$aהספרייה והארכיון הישראלי למחול בבית אריאלה$$9heb
997011533549005171 948   $$aNNL
997011533549005171 952   $$aCopyright status not determined; No contract$$bNo copyright analysis$$cYael Gherman 20220816$$dללא ניתוח מצב זכויות
997011533549005171 999   $$bNOULI
997011533549005171 999   $$bNOOCLC
997011533549005171 999   $$aARCHIVE
997011533548905171 LDR   00000npd#a22########4500
997011533548905171 001   997011533548905171
997011533548905171 008   ######k19481964###xx######################d
997011533548905171 040   $$bheb$$erda
997011533548905171 044   $$axx#
997011533548905171 093   $$cPSiDu-001-001$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533548905171 1001  $$aדוראן, סילביה$$9heb$$e(יוצר הארכיון)
997011533548905171 24510 $$aילדות, נעורים ותחילת הדרך המקצועית בדרום אפריקה
997011533548905171 260   $$g1948-1964$$c1948-1964
997011533548905171 300   $$a5$$fבסדרה זו תיקים
